;Adresas;Kaina;Kaina_uz_m2;Plotas;Kambariu_skaicius
0;Palanga, A. Mickevičiaus g.;268000;7657;35;2
1;Palanga, A. Mickevičiaus g.;329900;7331;45;3
2;Palanga, S. Daukanto g.;435000;5959;73;4
3;Palanga, S. Daukanto g.;312000;6933;45;3
4;Palanga, Palanga, Saulėlydžio g.;179000;2183;82;3
5;Vilnius, Paupys, Aukštaičių g.;690000;6635;104;4
6;Palanga, Vėžių g.;173000;3604;48;2
7;Palanga, Palanga, Vėžių g.;160000;3478;46;2
8;Kaunas, Žaliakalnis, Žalioji g.;73000;2808;26;2
9;Kaunas, Žaliakalnis, Mituvos g.;77000;2406;32;2
10;Palanga, Šventoji, Mėguvos g.;38940;1770;22;1
11;Palanga, Palanga, Saulėlydžio g.;135000;2213;61;2
12;Palanga, Palanga, Sermiesčio g.;252000;3652;69;3
13;Vilnius, Antakalnis, L. Sapiegos g.;339000;6164;55;2
14;Vilnius, Senamiestis, Gedimino pr.;830000;5804;143;3
15;Vilnius, Pilaitė, I. Simonaitytės g.;145000;3152;46;2
16;Vilnius, Karoliniškės, Algimanto Petro Kavoliuko g.;140000;3415;41;2
17;Klaipėda, Alksnynė, Taikos pr.;170000;2024;84;3
18;Vilnius, Justiniškės, Taikos g.;134900;2645;51;3
19;Vilnius, Lazdynėliai, Žaibo g.;160000;3636;44;2
20;Palanga, Mėguvos g.;111000;2467;45;2
21;Vilnius, Lazdynėliai, Žaibo g.;166000;3773;44;2
22;Vilnius, Senamiestis, Kaštonų g.;208000;2849;73;2
23;Vilnius, Lazdynėliai, Žaibo g.;163000;3881;42;2
24;Klaipėda, Žardininkai, Žardininkų g.;76000;1188;64;3
25;Vilnius, Lazdynai, Architektų g.;119000;2532;47;2
26;Vilnius, Pašilaičiai, Perkūnkiemio g.;123900;1906;65;2
27;Palanga, Sergiškių g.;132000;2750;48;2
28;Vilnius, Lazdynėliai, Žaibo g.;166000;3773;44;2
29;Vilnius, Senamiestis, Vašingtono a.;370000;3700;100;4
30;Palanga, Palanga, Virbališkės tak.;187550;3907;48;2
31;Palanga, Sergiškių g.;79000;3160;25;1
32;Vilnius, Naujamiestis, Naugarduko g.;135000;2813;48;2
33;Vilnius, Paupys, Krivūlės g.;184000;5111;36;2
34;Vilnius, Naujininkai, Naujininkų g.;115000;2091;55;2
35;Vilnius, Pilaitė, Tvankstos g.;155100;3525;44;2
36;Vilnius, Baltupiai, Baltupio g.;185500;4033;46;2
37;Vilnius, Viršuliškės, Viršilų g.;202000;3961;51;3
38;Kaunas, Žemutiniai Kaniūkai, Raudondvario pl.;192500;2070;93;4
39;Kauno r. sav., Noreikiškių k., Kadagių g.;105000;2692;39;2
40;Vilnius, Lazdynai, Architektų g.;125900;2518;50;3
41;Kaunas, Senamiestis, Pilies g.;499999;6250;80;3
42;Vilnius, Šnipiškės, Šatrijos g.;229000;5205;44;2
43;Vilnius, Lazdynai, M. Mironaitės g.;159900;3476;46;2
44;Vilnius, Senamiestis, Palangos g.;500000;3378;148;4
45;Vilnius, Senamiestis, J. Basanavičiaus g.;490000;3141;156;4
46;Kaunas, Žaliakalnis, Šimkaičių g.;195000;2786;70;3
47;Klaipėda, Centras, Kuosų g.;139000;2206;63;2
48;Kaunas, Žemutiniai Kaniūkai, Raudondvario pl.;135900;3315;41;2
49;Vilnius, Žvėrynas, A. Mickevičiaus g.;520000;6582;79;4
50;Vilnius, Žvėrynas, Vilkų g.;310000;5849;53;2
51;Vilnius, Šnipiškės, Konstitucijos pr.;335000;3350;100;4
52;Vilnius, Žirmūnai, M. Katkaus g.;179000;3580;50;2
53;Klaipėda, Paupiai, Klemiškės g.;185000;3083;60;3
54;Klaipėda, Senamiestis, J. Janonio g.;95000;2159;44;2
55;Vilnius, Užupis, Krivių g.;195000;4333;45;2
56;Klaipėda, Rumpiškės, Rumpiškės g.;65000;1711;38;2
57;Vilnius, Žvėrynas, Sakalų g.;280000;4912;57;3
58;Vilnius, Senamiestis, Pylimo g.;690000;4825;143;4
59;Kaunas, Žemieji Šančiai, A. Juozapavičiaus pr.;149999;2885;52;2
60;Vilnius, Valakampiai, Svajonių g.;375000;3989;94;4
61;Vilnius, Markučiai, Manufaktūrų g.;420000;5185;81;4
62;Palanga, Druskininkų g.;59000;2107;28;1
63;Kaunas, Dainava, Partizanų g.;70000;2121;33;1
64;Vilnius, Pašilaičiai, Gabijos g.;118000;2070;57;2
65;Vilnius, Naujamiestis, Vinco Kudirkos g.;490000;3603;136;4
66;Vilnius, Senamiestis, Teatro g.;400000;5195;77;3
67;Vilnius, Šnipiškės, Kalvarijų g.;250000;3086;81;3
68;Vilnius, Lazdynėliai, Lazdynėlių g.;192900;3445;56;3
69;Klaipėda, Centras, Kauno g.;83000;2184;38;2
70;Kauno r. sav., Purviškių k., Lazduonos g.;7600;141;54;2
71;Vilnius, Naujamiestis, Savanorių pr.;285000;6196;46;2
72;Akmenės r. sav., Naujosios Akmenės m., Nepriklausomybės al.;26000;565;46;2
73;Kaunas, Aleksotas, Bitininkų g.;289999;3671;79;3
74;Kaunas, Šilainiai, J. Grušo g.;91000;2459;37;1
75;Vilnius, Naujamiestis, Mindaugo g.;430000;5890;73;3
76;Klaipėda, Žvejybos uostas, Minijos g.;95000;2111;45;2
77;Vilnius, Šeškinė, Fabijoniškių g.;199000;3980;50;2
78;Kaunas, Žaliakalnis, P. Višinskio g.;72000;2118;34;2
79;Kelmės m., J. Janonio g.;50000;1000;50;2
80;Šiauliai, Zokniai, Radviliškio g.;72000;1241;58;3
81;Vilnius, Naujamiestis, Vasario 16-osios g.;440000;4000;110;4
